Id,full_scorecard,Season,team1,team2,team1_score,team2_score,toss_winner,toss_choice,winner,margin,man_of_the_match,stadium,place,winner_update,Season_update
138,https://stats.espncricinfo.com/ci/engine/match/1216496.html,2020,Rajasthan Royals,Chennai Super Kings,216,200,Chennai Super Kings,Field,Royals,16 runs,Sanju Samson,Sharjah Cricket Stadium,Sharjah,Rajasthan,2020
139,https://stats.espncricinfo.com/ci/engine/match/1216508.html,2020,Mumbai Indians,Kolkata Knight Riders,195,146,Kolkata Knight Riders,Field,Mumbai,49 runs,Rohit Sharma,Zayed Cricket Stadium,Abu Dhabi,Mumbai,2020
140,https://stats.espncricinfo.com/ci/engine/match/1216510.html,2020,Kings XI Punjab,Royal Challengers Bangalore,206,109,Royal Challengers Bangalore,Field,Kings,97 runs,KL Rahul,Dubai International Cricket Stadium,Dubai,Punjab,2020
141,https://stats.espncricinfo.com/ci/engine/match/1216539.html,2020,Delhi Capitals,Chennai Super Kings,175,131,Chennai Super Kings,Field,Capitals,44 runs,Prithvi Shaw,Dubai International Cricket Stadium,Dubai,Delhi,2020
142,https://stats.espncricinfo.com/ci/engine/match/1216545.html,2020,Sunrisers Hyderabad,Kolkata Knight Riders,142,145,Sunrisers Hyderabad,Bat,KKR,7 wickets,Shubman Gill,Zayed Cricket Stadium,Abu Dhabi,Kolkata,2020
143,https://stats.espncricinfo.com/ci/engine/match/1216527.html,2020,Kings XI Punjab,Rajasthan Royals,223,226,Rajasthan Royals,Field,Royals,4 wickets,Sanju Samson,Sharjah Cricket Stadium,Sharjah,Rajasthan,2020
144,https://stats.espncricinfo.com/ci/engine/match/1216547.html,2020,Royal Challengers Bangalore,Mumbai Indians,201,201,Mumbai Indians,Field,Tied,Tied,AB de Villiers,Dubai International Cricket Stadium,Dubai,Tied,2020
145,https://stats.espncricinfo.com/ci/engine/match/1216532.html,2020,Sunrisers Hyderabad,Delhi Capitals,162,147,Delhi Capitals,Field,Sunrisers,15 runs,Rashid Khan,Zayed Cricket Stadium,Abu Dhabi,Hyderabad,2020
146,https://stats.espncricinfo.com/ci/engine/match/1216504.html,2020,Kolkata Knight Riders,Rajasthan Royals,174,137,Rajasthan Royals,Field,KKR,37 runs,Shivam Mavi,Dubai International Cricket Stadium,Dubai,Kolkata,2020
147,https://stats.espncricinfo.com/ci/engine/match/1216503.html,2020,Mumbai Indians,Kings XI Punjab,191,143,Kings XI Punjab,Field,Mumbai,48 runs,Kieron Pollard,Zayed Cricket Stadium,Abu Dhabi,Mumbai,2020
