Id,place_city,place_country,place_state
366,Delhi,India,Delhi
367,Kanpur,India,Uttar Pradesh
368,Kolkata,India,West Bengal
369,Pune,India,Maharashtra
370,Delhi,India,Delhi
371,Mumbai,India,Maharashtra
372,Banglore,India,Karnataka
373,Banglore,India,Karnataka
374,Hyderabad,India,Telengana
375,Mumbai,India,Maharashtra
376,Kolkata,India,West Bengal
377,Mohali,India,Punjab
378,Banglore,India,Karnataka
379,Kolkata,India,West Bengal
380,Rajkot,India,Gujarat
381,Delhi,India,Delhi
382,Hyderabad,India,Telengana
383,Mumbai,India,Maharashtra
384,Mohali,India,Punjab
385,Banglore,India,Karnataka
386,Hyderabad,India,Telengana
387,Mohali,India,Punjab
388,Mumbai,India,Maharashtra
389,Rajkot,India,Gujarat
390,Pune,India,Maharashtra
391,Delhi,India,Delhi
392,Hyderabad,India,Telengana
393,Rajkot,India,Gujarat
394,Pune,India,Maharashtra
395,Mohali,India,Punjab
396,Hyderabad,India,Telengana
397,Delhi,India,Delhi
398,Mumbai,India,Maharashtra
399,Pune,India,Maharashtra
400,Delhi,India,Delhi
401,Hyderabad,India,Telengana
402,Rajkot,India,Gujarat
403,Pune,India,Maharashtra
404,Banglore,India,Karnataka
405,Rajkot,India,Gujarat
406,Kolkata,India,West Bengal
407,Delhi,India,Delhi
408,Hyderabad,India,Telengana
409,Banglore,India,Karnataka
410,Mohali,India,Punjab
411,Visakhapatnam,India,Andhra Pradesh
412,Kolkata,India,West Bengal
413,Mohali,India,Punjab
414,Visakhapatnam,India,Andhra Pradesh
415,Banglore,India,Karnataka
416,Hyderabad,India,Telengana
417,Visakhapatnam,India,Andhra Pradesh
418,Banglore,India,Karnataka
419,Kolkata,India,West Bengal
420,Mohali,India,Punjab
421,Visakhapatnam,India,Andhra Pradesh
422,Kolkata,India,West Bengal
423,Visakhapatnam,India,Andhra Pradesh
424,Banglore,India,Karnataka
425,Kanpur,India,Uttar Pradesh
426,Raipur,India,Chhattisgarh
427,Visakhapatnam,India,Andhra Pradesh
428,Kanpur,India,Uttar Pradesh
429,Kolkata,India,West Bengal
430,Raipur,India,Chhattisgarh
431,Banglore,India,Karnataka
432,Delhi,India,Delhi
433,Delhi,India,Delhi
434,Banglore,India,Karnataka
435,Kolkata,India,West Bengal
436,Chepauk,India,Tamil Nadu
437,Pune,India,Maharashtra
